Ciudad,Pais,Ubicacion,Fechas,Acceso,Registro,VIP,Capacidad_est,Highlights,Restricciones,Latitud,Longitud
Ciudad de México,México,Zócalo · Plaza de la Constitución,11 jun – 19 jul 2026,Gratuito,False,False,150000,Banda El Recodo · K-Tigers · Frida: The Musical · Pantallas gigantes,Sin mochilas grandes · Bolsas transparentes recomendadas,19.4326,-99.1332
Guadalajara,México,Plaza Liberación · Centro Histórico,11 jun – 19 jul 2026 (días de partido),Gratuito · Requiere pase digital FIFA,True,False,40000,Tacos y tortas ahogadas · Activaciones FIFA · Tienda oficial,Cupo limitado · Registro obligatorio en plataforma FIFA,20.6767,-103.3475
Monterrey,México,Parque Fundidora,11 jun – 19 jul 2026,Gratuito + Zonas VIP / Conciertos de pago,False,True,80000,Espacio industrial recuperado · Canchas recreativas · Gastronomía regia,VIP y conciertos especiales requieren ticket (Ticketmaster),25.6714,-100.2846
Toronto,Canadá,Fort York National Historic Site · The Bentway,11 jun – 19 jul 2026,Gratuito,False,False,50000,El Mundo en una Ciudad · Conciertos diarios · Diversidad multicultural,Sin mochilas grandes ni equipaje de mano grande,43.6386,-79.4014
Vancouver,Canadá,PNE Grounds · Hastings Park,11 jun – 19 jul 2026,Gratuito + Hospitalidad Premium de pago,False,True,45000,Freedom Mobile Amphitheatre · Vista a montañas · Food trucks internacionales,Zonas Premium/VIP con ticket adicional,49.2827,-123.1207
Atlanta,EE.UU.,Centennial Olympic Park,11 jun – 19 jul 2026,GA Gratuito + Zona GA+ mejorada,False,True,70000,Summer Walker · Ludacris · CeeLo Green · EARTHGANG,GA+ requiere acceso diferenciado · Política de bolsas estándar FIFA,33.7595,-84.3921
Boston,EE.UU.,City Hall Plaza,16 días (días de partido asignados),Gratuito,False,False,35000,Acceso MBTA · Ambiente comunitario local · Orientado al fan local,Activo exclusivamente en días de partido programados,42.3601,-71.0589
Houston,EE.UU.,EaDo · East Downtown,11 jun – 19 jul 2026,Gratuito,False,False,60000,Football Fiesta Houston · Música latina · Torneos Fútbol 5 · Fusión tejano-mexicana,Protocolo estándar FIFA de seguridad,29.7604,-95.3595
Kansas City,EE.UU.,National WWI Museum and Memorial,18 días seleccionados del torneo,Gratuito · Requiere registro digital previo,True,False,30000,Vista panorámica al skyline KC · Pantalla gigante · Activaciones patrocinadores,Registro digital obligatorio · Regulaciones estrictas del memorial · Aforo controlado,39.0997,-94.5786
Los Ángeles,EE.UU.,LA Memorial Coliseum + Fan Zones satélite,11–15 jun centralizado · luego distribución metropolitana,Gratuito,False,False,100000,Semana inaugural centralizada · Zonas satélite costeras y plazas urbanas,Post-15 jun: múltiples ubicaciones — verificar cada zona satélite,34.0141,-118.2879
Miami,EE.UU.,Bayfront Park · Downtown Miami,13 jun – 5 jul 2026,Gratuito · Sin registro,False,False,30000,"Frente al mar · Música urbana, caribeña y electrónica · ~30K personas/día",Sin pase previo requerido · Acceso directo,25.7743,-80.187
Filadelfia,EE.UU.,Lemon Hill · Fairmount Park,11 jun – 19 jul 2026,GA Gratuito · Conciertos sin partido con ticket,False,True,50000,Acceso general gratuito en días de partido · Festivales de música adicionales,Días sin partido: eventos de pago con ticket independiente,39.9526,-75.1652
Nueva York,EE.UU.,Queens · Manhattan · Bronx · Brooklyn · Staten Island,11 jun – 19 jul 2026 (rotación por fase),Gratuito,False,False,80000,USTA Queens (grupos) · Rockefeller Center (eliminatorias/final) · Brooklyn Bridge Park,Formato satélite: zona activa varía por fase del torneo,40.7128,-74.006
